2021-02-18 09:04:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1390 bytes.
2021-02-18 09:09:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 800/401 bytes.
2021-02-18 09:09:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1393 bytes.
2021-02-18 09:14:57 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 1041/293 bytes.
2021-02-18 09:14:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1392 bytes.
2021-02-18 09:19:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 800/401 bytes.
2021-02-18 09:19:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1392 bytes.
2021-02-18 09:24:57 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 1041/295 bytes.
2021-02-18 09:24:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1395 bytes.
2021-02-18 09:29:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 800/405 bytes.
2021-02-18 09:29:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1393 bytes.
2021-02-18 09:29:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 3686/1701 bytes.
2021-02-18 09:34:57 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 1041/295 bytes.
2021-02-18 09:34:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1393 bytes.
2021-02-18 09:39:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:346 in SendMetadata) | Sent metadata payload, size (raw/compressed): 800/403 bytes.
2021-02-18 09:39:59 UTC | CORE | INFO | (pkg/serializer/serializer.go:366 in SendJSONToV1Intake) | Sent processes metadata payload, size: 1391 bytes.
2021-02-18 09:39:59 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check cpu
2021-02-18 09:39:59 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check cpu
2021-02-18 09:40:03 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check uptime
2021-02-18 09:40:03 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check uptime
2021-02-18 09:40:04 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check memory
2021-02-18 09:40:04 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check memory
2021-02-18 09:40:05 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check io
2021-02-18 09:40:05 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check io
2021-02-18 09:40:06 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check disk
2021-02-18 09:40:06 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check disk
2021-02-18 09:40:11 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check network
2021-02-18 09:40:11 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check network
2021-02-18 09:40:12 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check load
2021-02-18 09:40:12 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check load
2021-02-18 09:40:13 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check file_handle
2021-02-18 09:40:13 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check file_handle
