File path                                          | mode  | owner      | group     
-------------------------------------------------------------------------------------
/etc/datadog-agent/conf.d/cri.d/conf.yaml.default  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/istio.d/auto_conf.yaml   | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/tomcat.d/metrics.yaml    | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/netapp.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-router-ospf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_hp-compaq-health.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco-asa-5525.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco_uc_virtual_machine.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/fortinet-fortigate.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/hazelcast.d/metrics.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-tcp.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco_icm.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/var/log/datadog/trace-agent.log.3                 | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/harbor.d/auto_conf.yaml  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-router-udp.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco-asa.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_hp-driver-stats.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_juniper-scu.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/f5-big-ip.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/activemq.d/metrics.yaml  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/couchbase.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/aruba.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/cisco-catalyst.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/sonarqube.d/metrics.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/kyototycoon.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/apc_ups.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/jboss_wildfly.d/metrics.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_juniper-userfirewall.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/consul.d/auto_conf.yaml  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/presto.d/auto_conf.yaml  | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_dell-rac.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-host-resources.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/snmp.d/profiles/_generic-ip.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/ignite.d/metrics.yaml    | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/kube_controller_manager.d/auto_conf.yaml | -rw-r--r-- | dd-agent   | dd-agent  
/etc/datadog-agent/conf.d/riak.d/auto_conf.yaml    | -rw-r--r-- | dd-agent   | dd-agent  
